"Story","Title","Result","Date","Stability","Duration (s)"
"Search products at My Store",": Search a product","SUCCESS","2022-07-18T08:43:42.1676736-05:00[America/Bogota]","0.0","45.42"
"Fill text information the Tool QA","Fill out the student registration form","SUCCESS","2022-07-18T08:42:24.4851797-05:00[America/Bogota]","0.0","54.25"
"Schedule a project presentation","Schedule a project presentation","SUCCESS","2022-07-18T08:40:03.3538565-05:00[America/Bogota]","0.0","99.4"
